title,district,company,salary_min,salary_max,demand,company_info,tag,comment
自动驾驶视觉算法资深工程师/专家,天河区,小鹏汽车,25,46,"
经验3-5年/硕士","制造业,智能硬件 / 上市公司 / 2000人以上","图像算法
                                                                    深度学习",“上市公司 量产落地 朝阳行业”
自动驾驶图像算法工程师,天河区,小鹏汽车,13,25,"
经验在校/应届/硕士","制造业,智能硬件 / 上市公司 / 2000人以上","汽车
                                                                    深度学习
                                                                    C/C++
                                                                    Python",“年底双薪，福利好，大牛多”
自动驾驶运动控制算法工程师,天河区,小鹏汽车,13,25,"
经验在校/应届/硕士","制造业,智能硬件 / 上市公司 / 2000人以上","汽车
                                                                    C/C++
                                                                    MATLAB",“年底双薪，福利好，大牛多”
校招(2020/2021)-大数据算法工程师,珠江新城,小鹏汽车,13,25,"
经验在校/应届/本科","制造业,智能硬件 / 上市公司 / 2000人以上",深度学习,“团队实力”
自动驾驶算法工程师,天河区,小鹏汽车,13,25,"
经验在校/应届/硕士","制造业,智能硬件 / 上市公司 / 2000人以上","汽车
                                                                    Python",“年底双薪，福利好，大牛多”
音频算法工程师-校招,黄埔区,广州市奥威亚电子科技有限公司,10,15,"
经验在校/应届/硕士",人工智能服务 / 上市公司 / 500-2000人,"语音识别
                                                                    深度学习
                                                                    C/C++","“年终奖金,导师指导,节日福利,团队活动”"
自动驾驶点云算法工程师,珠江新城,小鹏汽车,20,40,"
经验不限/不限","制造业,智能硬件 / 上市公司 / 2000人以上","汽车
                                                                    图片识别
                                                                    深度学习",“发展前景好”
数据挖掘工程师/高级工程师,天河区,小鹏汽车,20,40,"
经验1-3年/本科","制造业,智能硬件 / 上市公司 / 2000人以上","数据挖掘
                                                                    Hadoop
                                                                    Java
                                                                    Python",“绩效奖金 激励股票 前景好 发展空间广阔”
自动驾驶图像算法资深工程师/专家,天河区,小鹏汽车,20,40,"
经验5-10年/本科","制造业,智能硬件 / 上市公司 / 2000人以上","深度学习
                                                                    图像处理
                                                                    算法",“健身房，大平台，包吃等”
自动驾驶运动控制算法工程师（底盘控制方向）,天河区,小鹏汽车,20,40,"
经验3-5年/本科","制造业,智能硬件 / 上市公司 / 2000人以上","C/C++
                                                                    自动驾驶",“发展前景好，五险一金，晋升空间大等”
智能车品算法工程师,天河区,小鹏汽车,20,25,"
经验在校/应届/不限","制造业,智能硬件 / 上市公司 / 2000人以上","信息安全
                                                                    智能硬件",“智能硬件”
AI图像算法工程师-校招,黄埔区,广州市奥威亚电子科技有限公司,10,15,"
经验在校/应届/硕士",人工智能服务 / 上市公司 / 500-2000人,"深度学习
                                                                    文字识别
                                                                    人脸识别
                                                                    C/C++","“年终奖金,导师指导,节日福利,团队活动”"
